age,income_lakh,credit_score,loan_amount_lakh,existing_loans,approved
,9.8,692.0,6.98,3.0,0
37.0,10.33,662.0,15.33,1.0,1
21.0,3.96,646.0,8.01,2.0,0
32.0,9.93,694.0,20.3,1.0,0
41.0,2.05,669.0,16.72,3.0,0
51.0,5.87,725.0,9.22,3.0,0
35.0,5.54,662.0,12.55,0.0,1
36.0,8.32,673.0,6.1,2.0,1
43.0,7.47,662.0,,1.0,1
30.0,11.31,422.0,8.17,3.0,1
50.0,9.06,637.0,7.71,1.0,0
21.0,4.66,679.0,21.58,1.0,0
53.0,6.27,637.0,9.39,1.0,1
51.0,3.69,562.0,6.66,0.0,1
31.0,6.32,717.0,7.24,1.0,0
22.0,9.97,665.0,26.0,2.0,1
,11.09,548.0,12.68,2.0,0
61.0,8.3,574.0,5.83,0.0,0
35.0,6.38,606.0,7.57,1.0,1
57.0,5.16,638.0,10.82,1.0,1
21.0,8.83,625.0,6.53,3.0,1
57.0,7.98,647.0,14.95,0.0,0
58.0,9.24,667.0,16.83,2.0,0
,5.2,455.0,1.0,0.0,0
36.0,11.97,,13.0,1.0,1
46.0,8.13,703.0,17.29,2.0,1
56.0,7.37,558.0,17.69,3.0,0
50.0,13.9,735.0,,0.0,1
46.0,5.58,701.0,10.24,1.0,0
,6.29,627.0,19.55,0.0,0
22.0,11.59,,21.34,2.0,0
49.0,11.86,,7.85,-1.0,1
45.0,11.32,785.0,1.0,2.0,1
,9.65,727.0,20.96,2.0,0
44.0,8.42,655.0,13.59,0.0,1
41.0,2.2,543.0,13.63,2.0,0
23.0,13.91,645.0,,0.0,0
32.0,3.59,646.0,9.63,0.0,1
46.0,5.58,701.0,10.24,1.0,0
44.0,4.5,810.0,5.9,1.0,0
58.0,10.05,565.0,10.18,3.0,0
21.0,11.86,759.0,18.01,1.0,0
48.0,8.55,666.0,5.28,1.0,0
44.0,4.68,660.0,9.33,0.0,0
36.0,6.38,621.0,17.05,1.0,0
54.0,3.63,837.0,17.36,1.0,0
30.0,5.84,,1.0,0.0,0
64.0,2.19,524.0,,2.0,0
50.0,12.36,766.0,17.29,1.0,1
,2.68,593.0,21.21,1.0,0
28.0,12.15,599.0,8.23,0.0,0
45.0,11.43,662.0,9.55,0.0,1
56.0,11.89,,1.0,1.0,0
33.0,10.22,664.0,9.48,3.0,1
55.0,7.55,599.0,16.65,0.0,0
47.0,10.38,719.0,8.7,3.0,0
46.0,16.06,460.0,10.16,1.0,0
48.0,9.19,676.0,17.18,0.0,1
50.0,6.48,688.0,5.82,1.0,0
